"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"FTDI","PCB-a9fxjiuhfa2czfmrx6bk-1","1650mil","1469mil","1650mil","1719mil","1650mil","1719mil","T","270.00","Samtec SLW-106-01-T-S"
"D3","PCB-pc8w7ghvx4b2ajkb2zkc-1","1368mil","1677mil","1368mil","1677mil","1430.008mil","1677mil","T","180.00","1N4148W-7-F"
"R35","PCB-3656032-1","2415.402mil","1368.646mil","2415.402mil","1368.646mil","2415.402mil","1329.275mil","T","90.00","47k"
"U4","TI-PW16_L","2048.874mil","1684.551mil","2048.874mil","1684.551mil","1959.307mil","1574.315mil","T","90.00","THS4522IPWR"
"R9","PCB-3656032-1","2172mil","1974mil","2172mil","1974mil","2172mil","2013.37mil","T","270.00","100R"
"R8","PCB-3656032-1","2092.575mil","1974.551mil","2092.575mil","1974.551mil","2092.575mil","2013.921mil","T","270.00","100R"
"R7","PCB-3656032-1","1908mil","1980mil","1908mil","1980mil","1908mil","2019.37mil","T","270.00","100R"
"R6","PCB-3656032-1","1830mil","1980mil","1830mil","1980mil","1830mil","2019.37mil","T","270.00","100R"
"R24","PCB-3656032-1","2295mil","1683mil","2295mil","1683mil","2295mil","1722.37mil","T","270.00","2k"
"R22","PCB-3656032-1","1890mil","1683mil","1890mil","1683mil","1890mil","1722.37mil","T","270.00","2k"
"R23","PCB-3656032-1","2220mil","1683mil","2220mil","1683mil","2220mil","1722.37mil","T","270.00","2k"
"R21","PCB-3656032-1","1812mil","1683mil","1812mil","1683mil","1812mil","1722.37mil","T","270.00","2k"
"R16","PCB-3656032-1","2250.874mil","1368.646mil","2250.874mil","1368.646mil","2250.874mil","1408.016mil","T","270.00","1k"
"R15","PCB-3656032-1","2170.874mil","1368.646mil","2170.874mil","1368.646mil","2170.874mil","1408.016mil","T","270.00","1k"
"R14","PCB-3656032-1","1927.874mil","1368.646mil","1927.874mil","1368.646mil","1927.874mil","1408.016mil","T","270.00","1k"
"R13","PCB-3656032-1","1847.874mil","1368.646mil","1847.874mil","1368.646mil","1847.874mil","1408.016mil","T","270.00","1k"
"C11","C0805","2352.126mil","2029.401mil","2352.126mil","2029.401mil","2352.126mil","2064.401mil","T","360.00","10uF"
"C21","PCB-bgadz4xbubbd3co6jzoj-1","2259mil","1863mil","2259mil","1863mil","2259mil","1821.661mil","T","180.00","0.1uF"
"C10","C0805","2260mil","2029.401mil","2260mil","2029.401mil","2260mil","2064.401mil","T","360.00","10uF"
"C20","PCB-bgadz4xbubbd3co6jzoj-1","2001mil","1980mil","2001mil","1980mil","2001mil","2021.339mil","T","360.00","0.1uF"
"C29","PCB-bgadz4xbubbd3co6jzoj-1","2090.874mil","1374.551mil","2090.874mil","1374.551mil","2090.874mil","1415.89mil","T","0.00","0.22uF"
"C27","PCB-bgadz4xbubbd3co6jzoj-1","1766.063mil","1374.551mil","1766.063mil","1374.551mil","1766.063mil","1415.89mil","T","0.00","0.22uF"
"C30","PCB-bgadz4xbubbd3co6jzoj-1","2330.874mil","1374.551mil","2330.874mil","1374.551mil","2330.874mil","1415.89mil","T","0.00","0.22uF"
"C28","PCB-bgadz4xbubbd3co6jzoj-1","2007.874mil","1374.551mil","2007.874mil","1374.551mil","2007.874mil","1415.89mil","T","0.00","0.22uF"
"EXT VCC","PCB-7hc2nr5bn4tgoucwa5ir-1","165mil","1225mil","165mil","1275mil","165mil","1275mil","T","270.00","Header_6x1"
"UART2","PCB-7hc2nr5bn4tgoucwa5ir-1","276mil","439mil","276mil","489mil","276mil","489mil","T","270.00","Header_6x1"
"BOX1","CU-3242","1249.5mil","1249.5mil","1249.5mil","1249.5mil","187mil","187mil","T","90.00","CU3242"
"JTAG","10_pin_JTAG","1231mil","578mil","1231mil","578mil","1256mil","478mil","T","180.00","10 pin JTAG header, 1.27mm pitch"
"BOOT0","SW4SMD_63X161LS","965mil","1313mil","965mil","1313mil","884.29mil","1281.5mil","T","0.00","ITT / C&K Components KMR231GLFS"
"R3","PCB-3656032-1","2410mil","337mil","2410mil","337mil","2449.37mil","337mil","T","180.00","0R"
"R2","PCB-3656032-1","2277mil","337mil","2277mil","337mil","2237.63mil","337mil","T","360.00","0R"
"C23","PCB-bgadz4xbubbd3co6jzoj-1","1876mil","205.102mil","1876mil","205.102mil","1876mil","246.441mil","T","0.00","0.1uF"
"C22","PCB-bgadz4xbubbd3co6jzoj-1","1789mil","205.102mil","1789mil","205.102mil","1789mil","246.441mil","T","0.00","0.1uF"
"MIC","PCB-iqxn5ofl59ajeekzic4e-1","1948mil","70mil","2148mil","70mil","2148mil","70mil","T","180.00","100 mil Header x5"
"R31","PCB-3656032-1","1383mil","161mil","1383mil","161mil","1343.63mil","161mil","T","0.00","10k"
